epoch,total_epochs,accuracy,loss,val_accuracy,val_loss,learning_rate
1,20,0.6553,0.8901,0.8149,0.5213,0.0010
2,20,0.7580,0.6350,0.8391,0.4542,0.0010
3,20,0.7829,0.5753,0.8492,0.4322,0.0010
4,20,0.7899,0.5474,0.8544,0.4184,0.0010
5,20,0.8018,0.5261,0.8538,0.4157,0.0010
6,20,0.8099,0.5143,0.8616,0.3985,0.0010
7,20,0.8143,0.5009,0.8664,0.3904,0.0010
8,20,0.8207,0.4815,0.8639,0.3929,0.0010
9,20,0.8190,0.4796,0.8695,0.3828,0.0010
10,20,0.8184,0.4786,0.8641,0.3861,0.0010
11,20,0.8205,0.4762,0.8643,0.3877,0.0010
12,20,0.8222,0.4711,0.8622,0.3908,0.0005
13,20,0.8229,0.4636,0.8624,0.3909,0.0005